# Buddhist_ch1,Buddhist_ch2,Buddhist_ch3,Buddhist_ch4,Buddhist_ch5,Buddhist_ch6,Buddhist_ch7,Buddhist_ch8,Buddhist_ch9,Buddhist_ch10,Buddhist_ch11,Buddhist_ch12,Buddhist_ch13,Buddhist_ch14,Buddhist_ch15,Buddhist_ch16,Buddhist_ch17,Buddhist_ch18,Buddhist_ch19,Buddhist_ch20,Buddhist_ch21,Buddhist_ch22,Buddhist_ch23,Buddhist_ch24,Buddhist_ch25,Buddhist_ch26,Buddhist_ch27,Buddhist_ch28,Buddhist_ch29,Buddhist_ch30,Buddhist_ch31,Buddhist_ch32,Buddhist_ch33,Buddhist_ch34,Buddhist_ch35,Buddhist_ch36,Buddhist_ch37,Buddhist_ch38,Buddhist_ch39,Buddhist_ch40,Buddhist_ch41,Buddhist_ch42,Buddhist_ch43,Buddhist_ch44,Buddhist_ch45,Buddhist_ch46,TaoTeChing_ch1,TaoTeChing_ch2,TaoTeChing_ch3,TaoTeChing_ch4,TaoTeChing_ch5,TaoTeChing_ch6,TaoTeChing_ch7,TaoTeChing_ch8,TaoTeChing_ch9,TaoTeChing_ch10,TaoTeChing_ch11,TaoTeChing_ch12,TaoTeChing_ch13,TaoTeChing_ch14,TaoTeChing_ch15,TaoTeChing_ch16,TaoTeChing_ch17,TaoTeChing_ch18,TaoTeChing_ch19,TaoTeChing_ch20,TaoTeChing_ch21,TaoTeChing_ch22,TaoTeChing_ch23,TaoTeChing_ch24,TaoTeChing_ch25,TaoTeChing_ch26,TaoTeChing_ch27,TaoTeChing_ch28,TaoTeChing_ch29,TaoTeChing_ch30,TaoTeChing_ch31,TaoTeChing_ch32,TaoTeChing_ch33,TaoTeChing_ch34,TaoTeChing_ch35,TaoTeChing_ch36,TaoTeChing_ch37,TaoTeChing_ch38,TaoTeChing_ch39,TaoTeChing_ch40,TaoTeChing_ch41,TaoTeChing_ch42,TaoTeChing_ch43,TaoTeChing_ch44,TaoTeChing_ch45,TaoTeChing_ch46,TaoTeChing_ch47,TaoTeChing_ch48,TaoTeChing_ch49,TaoTeChing_ch50,TaoTeChing_ch51,TaoTeChing_ch52,TaoTeChing_ch53,TaoTeChing_ch54,TaoTeChing_ch55,TaoTeChing_ch56,TaoTeChing_ch57,TaoTeChing_ch58,TaoTeChing_ch59,TaoTeChing_ch60,TaoTeChing_ch61,TaoTeChing_ch62,TaoTeChing_ch63,TaoTeChing_ch64,TaoTeChing_ch65,TaoTeChing_ch66,TaoTeChing_ch67,TaoTeChing_ch68,TaoTeChing_ch69,TaoTeChing_ch70,TaoTeChing_ch71,TaoTeChing_ch72,TaoTeChing_ch73,TaoTeChing_ch74,TaoTeChing_ch75,TaoTeChing_ch76,TaoTeChing_ch77,TaoTeChing_ch78,TaoTeChing_ch79,TaoTeChing_ch80,TaoTeChing_ch81
3.917107,3.620366,3.223661,3.330230,3.920452,3.123997,2.493477,3.005286,3.047832,2.808140,1.762150,3.362742,3.606147,nan,2.984550,3.225077,3.936846,3.606147,2.681688,inf,3.277981,2.979766,3.038657,3.726218,2.682327,2.889740,inf,3.024572,2.994944,2.905278,3.192808,2.506008,2.964405,2.747573,3.345499,3.295734,3.107015,3.309809,3.574778,3.024572,3.791021,3.160808,2.229562,3.310465,3.295953,3.462306,3.799534,2.968959,4.907492,inf,3.281800,3.125442,3.186272,2.990075,3.646169,3.447599,3.476006,4.074194,3.431622,3.245488,3.542231,4.117597,4.051634,3.968107,inf,4.155453,3.548231,3.190763,3.206893,3.745504,2.947496,4.088688,3.625504,3.739462,3.573878,4.042391,3.496803,3.375130,inf,3.037231,4.398207,3.474965,3.259574,3.505812,3.295303,4.410866,3.670064,3.389004,inf,3.617384,4.480747,3.606147,2.886678,3.539382,3.065691,inf,3.717719,3.780301,2.969664,3.413316,3.518971,3.522620,4.004619,3.454672,3.485566,4.182487,3.178314,3.646169,3.482717,3.871461,4.542048,3.511125,4.148460,3.472616,3.502328,3.422285,3.787600,3.545833,3.848901,3.399725,3.671174,4.123184,4.102773,3.241390,3.427810,5.104013,inf
2.654361,3.479303,4.107684,3.317382,3.046220,2.723786,2.597004,2.477628,2.496914,2.150340,3.362742,1.230671,inf,nan,2.241501,inf,inf,2.631581,inf,2.385342,2.287202,2.600734,2.631581,3.936513,inf,3.011724,inf,3.648207,2.793723,3.427012,3.947625,inf,inf,4.697829,inf,inf,2.472998,3.273923,inf,2.699647,2.821262,4.016310,inf,2.881162,3.713721,inf,inf,inf,3.340114,inf,inf,inf,inf,inf,2.671602,3.794541,inf,inf,inf,4.163016,3.584290,2.694060,inf,inf,4.023915,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.671602,inf,inf,inf,inf,inf,inf,3.713721,inf,inf,inf,inf,3.497654,3.469869,inf,3.599216,inf,inf,inf,inf,3.449458,inf,inf,inf,inf,3.857562,inf,4.217123,2.998565,inf,3.667817,inf,4.170109,inf,inf,inf,inf,3.523976,inf,inf,inf,inf,inf,inf,3.561030,inf,inf
inf,inf,4.004515,inf,inf,2.852404,2.651376,2.532000,2.264315,inf,3.606147,inf,1.183562,nan,2.047172,2.594251,inf,2.484907,inf,inf,2.027968,2.426015,2.628748,2.778238,inf,inf,inf,inf,inf,3.062220,inf,inf,inf,inf,inf,3.613468,4.582253,3.090583,inf,inf,3.533802,3.965822,inf,2.900555,inf,inf,inf,3.607620,inf,inf,inf,3.015343,inf,inf,inf,3.142067,inf,inf,inf,2.961236,inf,3.630613,inf,3.134548,inf,inf,inf,inf,inf,inf,inf,inf,3.224445,inf,inf,inf,inf,inf,inf,inf,inf,3.230734,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.433467,inf,3.398970,inf,inf,3.278389,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.361916,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.449293,3.266791,3.481831,inf,3.257356,2.613147,2.435244,2.625388,2.268425,2.217636,2.984550,2.241501,2.047172,nan,1.573708,3.916007,inf,2.890372,2.973364,inf,2.287422,2.526597,2.634959,3.395611,inf,3.079019,inf,2.819622,3.581199,2.742269,4.158761,2.516137,3.200384,3.040130,3.578283,3.234625,2.724655,2.676011,3.051040,2.505318,2.990707,3.213372,2.289926,2.767951,3.466712,3.651585,inf,2.626791,3.348517,inf,3.817652,2.983073,2.826245,3.044522,2.930393,3.032722,2.904071,2.896289,3.283336,2.828631,4.142000,2.996357,inf,inf,3.541904,4.244397,inf,2.413247,3.145785,3.708790,3.257356,3.222860,2.805580,3.370260,3.460089,4.005678,3.603930,3.628325,inf,3.512769,3.388538,2.943052,inf,3.204676,3.586979,3.401197,3.656610,3.231710,inf,inf,3.817652,2.799211,2.610178,3.334432,2.826245,inf,3.054624,3.040130,3.366701,3.319938,3.772166,2.990707,3.485365,3.017570,3.448852,inf,3.666512,3.276967,2.910783,3.117205,inf,2.979212,inf,3.299935,3.329647,3.348517,2.666359,3.185806,3.441219,3.460089,inf,3.257356,3.348517,2.655370,2.876286,inf,inf
inf,inf,inf,inf,3.020127,3.193513,2.990075,2.590892,2.630048,2.326980,3.225077,inf,2.594251,nan,3.916007,1.207957,inf,2.616982,inf,inf,2.885022,2.817395,2.418141,2.667967,2.310029,2.841790,inf,inf,inf,4.440640,inf,2.489515,3.619248,inf,inf,inf,3.710768,4.122430,3.930607,inf,3.610877,3.696324,inf,3.383096,inf,inf,inf,4.234001,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.850826,inf,3.904771,inf,inf,inf,inf,inf,3.687628,inf,inf,3.818135,inf,inf,inf,4.284323,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.713275,4.122430,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.015343,inf,inf,inf,inf,inf,2.607468,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,2.352809,2.053040,1.875252,inf,3.020392,3.622542,3.961312,inf,inf,3.936846,inf,inf,nan,inf,inf,1.378550,1.957582,inf,inf,2.209420,2.625532,3.364912,2.607287,3.054068,3.239255,inf,2.979858,3.394861,2.923785,inf,inf,2.910227,3.224761,inf,3.944167,3.873231,3.970588,3.634924,inf,3.262515,3.236389,inf,2.884681,2.517346,inf,inf,3.591746,3.364912,inf,inf,inf,inf,inf,3.202201,inf,inf,2.878187,3.901718,inf,3.955662,3.961312,inf,inf,inf,4.058059,3.391946,inf,inf,inf,inf,3.585828,inf,inf,inf,inf,3.966898,inf,inf,3.673005,inf,inf,3.480174,4.058059,4.093789,inf,3.470273,3.738519,inf,inf,inf,inf,inf,inf,3.535787,inf,3.764166,inf,inf,inf,3.383096,inf,inf,inf,inf,inf,3.826747,inf,inf,inf,inf,3.597594,3.848334,3.662904,inf,inf,inf,3.548774,3.804187,inf,3.573780,inf,inf,inf,inf,inf,inf
4.640306,2.271388,2.134360,2.211227,3.492358,2.702193,3.182498,2.402245,2.771580,2.799211,3.606147,2.631581,2.484907,nan,2.890372,2.616982,1.957582,1.506034,inf,inf,2.204239,2.537587,2.673940,2.682053,2.324115,3.314021,4.168555,3.198465,4.162774,3.032271,inf,4.137433,2.792787,3.325174,inf,3.239861,3.337490,3.208366,3.632615,inf,3.404046,3.496687,2.871502,2.909901,2.459260,inf,3.083758,3.901513,3.786251,inf,inf,3.218075,inf,inf,3.074234,inf,3.597218,3.757672,4.669631,3.111288,3.094527,3.577932,3.970114,3.337281,inf,4.132825,3.223958,inf,inf,inf,3.603930,inf,inf,4.409980,inf,3.894106,4.041664,3.314021,inf,3.747771,3.420808,inf,3.554940,3.786251,4.312396,inf,3.891612,3.957126,3.727360,3.695091,inf,inf,inf,inf,inf,3.621705,3.333131,inf,inf,3.698781,3.804435,inf,4.616247,4.022794,3.775015,inf,4.045354,inf,3.950504,inf,inf,inf,4.269673,4.084243,inf,inf,3.706080,4.316687,3.878953,3.145785,inf,3.236945,4.132825,3.786251,inf,3.636199,inf
3.460434,3.059874,3.230109,inf,2.077485,3.360472,3.230994,inf,inf,2.221326,2.681688,inf,inf,nan,2.973364,inf,inf,inf,1.001433,1.560448,3.626027,2.221326,3.411099,inf,inf,inf,inf,2.332897,3.643780,inf,inf,2.442752,2.450613,3.035946,inf,3.297207,3.919418,3.323628,inf,inf,inf,4.545440,2.149775,inf,inf,inf,inf,2.598212,inf,inf,inf,inf,inf,3.015943,3.248387,3.172379,3.222066,inf,inf,3.540854,inf,inf,3.248387,inf,inf,inf,inf,3.125470,3.554940,inf,3.575351,inf,3.601331,3.688254,3.319938,3.518953,3.666512,3.488174,inf,3.372618,inf,3.261046,inf,3.757672,3.446828,inf,3.719192,3.091559,inf,inf,inf,3.208366,2.249111,3.194281,inf,inf,inf,3.526361,inf,3.526361,3.632015,3.308701,3.547947,3.157227,3.511434,inf,3.526361,3.594961,2.770632,inf,inf,3.297207,inf,inf,3.392229,3.208366,inf,inf,3.503800,3.319938,inf,inf,inf,2.861793,3.285441,inf,inf
inf,2.336414,inf,2.429906,inf,inf,inf,inf,inf,inf,inf,2.385342,inf,nan,inf,inf,inf,inf,1.560448,0.928149,3.595715,2.537587,inf,inf,inf,inf,inf,2.649159,1.912869,2.715647,inf,inf,2.723369,inf,inf,3.266894,3.339800,inf,3.506958,inf,2.763579,3.821981,2.322195,2.900555,2.714673,2.787975,inf,inf,2.341066,inf,inf,2.668769,inf,inf,inf,2.795493,inf,inf,inf,inf,2.585242,2.937465,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.311368,inf,inf,inf,inf,inf,inf,inf,2.334854,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.498606,2.470821,inf,inf,inf,inf,inf,inf,2.908556,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.668769,inf,3.171061,inf,inf,inf,inf,2.524928,inf,inf,inf,inf,inf,inf,inf,inf,inf
