# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31
0.607707,0.446431,0.374779,0.256535,0.167848,0.392620,0.133366,0.418616,0.414209,0.669278,0.744449,0.761232,0.685954,1.000000,0.590239,0.604422,0.627135,0.621906,0.698861,0.562733,0.669636,0.620769,0.341556,0.648665,0.329415,0.498883,0.363699,0.743908,0.718904,0.176387,0.301279
0.457234,0.347985,0.347987,0.247822,0.198434,0.304549,0.152606,0.396028,0.352735,0.611548,0.505886,0.548694,0.517101,0.590239,1.000000,0.612567,0.524973,0.498659,0.549719,0.489898,0.587069,0.475084,0.282218,0.450745,0.281775,0.360352,0.296996,0.495202,0.520102,0.182049,0.217314
0.433224,0.403310,0.428461,0.283280,0.220634,0.379725,0.179452,0.445513,0.332225,0.510522,0.517114,0.591087,0.521968,0.604422,0.612567,1.000000,0.510015,0.580569,0.597526,0.591339,0.623441,0.556303,0.304127,0.518056,0.397080,0.396429,0.381903,0.530392,0.550394,0.245378,0.261876
0.442892,0.309861,0.278286,0.207550,0.146848,0.314449,0.148094,0.333991,0.351310,0.516446,0.572246,0.616990,0.501513,0.627135,0.524973,0.510015,1.000000,0.574646,0.555992,0.475941,0.522760,0.462554,0.258795,0.510699,0.318570,0.490707,0.376400,0.580508,0.588929,0.171640,0.206236
0.465447,0.366914,0.306227,0.224715,0.175127,0.360226,0.180720,0.348566,0.363017,0.569281,0.588082,0.636890,0.556842,0.621906,0.498659,0.580569,0.574646,1.000000,0.604432,0.493056,0.550566,0.511291,0.305091,0.556268,0.360384,0.506099,0.380236,0.595905,0.598270,0.195042,0.273877
0.598615,0.455083,0.447230,0.320751,0.287283,0.491487,0.203556,0.405092,0.378221,0.581363,0.664092,0.692276,0.644141,0.698861,0.549719,0.597526,0.555992,0.604432,1.000000,0.562666,0.638911,0.686083,0.436243,0.649321,0.402298,0.484542,0.436049,0.718023,0.719366,0.187492,0.281387
0.454328,0.339157,0.350236,0.250982,0.199117,0.355832,0.166177,0.373502,0.329695,0.470837,0.517814,0.581751,0.464409,0.562733,0.489898,0.591339,0.475941,0.493056,0.562666,1.000000,0.514209,0.542032,0.315845,0.533094,0.404526,0.396218,0.371236,0.581218,0.585646,0.215786,0.245030
0.512680,0.422478,0.355111,0.223883,0.160794,0.384213,0.144141,0.442932,0.399021,0.645514,0.694543,0.706479,0.624996,0.669636,0.587069,0.623441,0.522760,0.550566,0.638911,0.514209,1.000000,0.553964,0.296194,0.572897,0.339867,0.400692,0.357092,0.663600,0.680497,0.168974,0.282277
0.610980,0.542020,0.619644,0.503960,0.425340,0.586789,0.291948,0.381235,0.396467,0.529613,0.620181,0.615011,0.548291,0.620769,0.475084,0.556303,0.462554,0.511291,0.686083,0.542032,0.553964,1.000000,0.602225,0.682345,0.478937,0.438936,0.521243,0.659168,0.674861,0.169401,0.339534
0.535927,0.574562,0.776401,0.710987,0.685980,0.687675,0.413898,0.234944,0.402638,0.335264,0.362693,0.350993,0.343936,0.341556,0.282218,0.304127,0.258795,0.305091,0.436243,0.315845,0.296194,0.602225,1.000000,0.668919,0.481870,0.266496,0.605657,0.350160,0.420918,0.210916,0.381437
0.673895,0.587158,0.655651,0.508050,0.508563,0.690372,0.317475,0.366663,0.458767,0.583191,0.676406,0.674948,0.582213,0.648665,0.450745,0.518056,0.510699,0.556268,0.649321,0.533094,0.572897,0.682345,0.668919,1.000000,0.510220,0.477731,0.586106,0.654942,0.702646,0.177948,0.318848
0.317820,0.409594,0.511298,0.425455,0.398560,0.526220,0.319538,0.207643,0.398217,0.232990,0.316871,0.350420,0.299089,0.329415,0.281775,0.397080,0.318570,0.360384,0.402298,0.404526,0.339867,0.478937,0.481870,0.510220,1.000000,0.323135,0.482851,0.346734,0.389533,0.234437,0.237184
0.387683,0.271616,0.235315,0.168050,0.142768,0.332925,0.173629,0.233548,0.294100,0.444625,0.447013,0.506603,0.406269,0.498883,0.360352,0.396429,0.490707,0.506099,0.484542,0.396218,0.400692,0.438936,0.266496,0.477731,0.323135,1.000000,0.351759,0.467523,0.477616,0.201185,0.193744
0.412523,0.425098,0.608051,0.529210,0.544207,0.592849,0.337722,0.235573,0.339663,0.319987,0.385464,0.391735,0.367280,0.363699,0.296996,0.381903,0.376400,0.380236,0.436049,0.371236,0.357092,0.521243,0.605657,0.586106,0.482851,0.351759,1.000000,0.356709,0.410626,0.209070,0.314240
0.637411,0.413237,0.354436,0.234963,0.139060,0.414742,0.097496,0.421604,0.388525,0.649053,0.797387,0.788869,0.678272,0.743908,0.495202,0.530392,0.580508,0.595905,0.718023,0.581218,0.663600,0.659168,0.350160,0.654942,0.346734,0.467523,0.356709,1.000000,0.807084,0.142208,0.268969
0.663799,0.447864,0.409229,0.292195,0.206630,0.466921,0.149717,0.433755,0.410665,0.653225,0.765821,0.769158,0.675757,0.718904,0.520102,0.550394,0.588929,0.598270,0.719366,0.585646,0.680497,0.674861,0.420918,0.702646,0.389533,0.477616,0.410626,0.807084,1.000000,0.152167,0.275315
0.140589,0.214990,0.203464,0.181642,0.159654,0.207767,0.220642,0.196261,0.268321,0.184807,0.093719,0.124937,0.193603,0.176387,0.182049,0.245378,0.171640,0.195042,0.187492,0.215786,0.168974,0.169401,0.210916,0.177948,0.234437,0.201185,0.209070,0.142208,0.152167,1.000000,0.364908
0.287357,0.256950,0.366431,0.257995,0.252033,0.318711,0.183767,0.224783,0.340134,0.265581,0.278913,0.277555,0.331452,0.301279,0.217314,0.261876,0.206236,0.273877,0.281387,0.245030,0.282277,0.339534,0.381437,0.318848,0.237184,0.193744,0.314240,0.268969,0.275315,0.364908,1.000000
