# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81
0.985915,0.957447,0.986486,1.000000,0.984615,1.000000,0.982143,0.985714,0.984848,0.988636,0.000000,0.986486,0.986667,0.976744,0.990000,1.000000,1.000000,1.000000,1.000000,0.991304,0.985714,0.960000,0.974684,1.000000,0.961039,0.985075,0.977273,0.971154,0.986111,1.000000,0.989583,0.976190,1.000000,0.985507,0.984615,0.984127,1.000000,0.965517,0.982906,0.978261,0.990991,0.972603,0.980392,1.000000,1.000000,0.966102,0.948276,0.981481,1.000000,1.000000,0.987013,0.988506,0.987500,0.976744,1.000000,0.985714,0.988636,0.975904,0.987342,1.000000,0.974026,0.979381,0.975000,0.991150,1.000000,0.969231,1.000000,0.985714,1.000000,0.982456,0.977778,0.968750,0.987952,0.965517,1.000000,0.984615,0.985915,0.972603,0.969697,0.978947,1.000000
1.000000,0.972727,0.965517,1.000000,1.000000,1.000000,0.956522,0.963855,0.975000,1.000000,0.986486,0.000000,0.988889,1.000000,0.973451,0.982143,1.000000,1.000000,1.000000,0.984496,0.988235,0.978022,0.967742,0.987500,0.956044,0.987805,0.970588,0.974790,0.964706,0.980198,0.972477,0.990000,0.985294,0.988095,0.948052,0.974026,0.986111,0.950000,0.992481,0.966667,0.975806,0.977273,1.000000,1.000000,0.988235,0.972973,0.986667,0.970588,0.936508,0.989011,0.989130,0.959596,0.989474,0.970000,0.973913,0.988235,0.949495,0.969072,0.989362,0.972973,0.989247,0.982143,0.956989,0.959677,0.989011,0.948718,0.990196,0.963855,1.000000,0.971831,0.966102,0.934211,0.957895,1.000000,0.986667,0.987500,0.964286,0.941176,0.962500,0.972477,0.984615
0.976744,0.982143,0.988889,0.974684,0.987654,0.985915,0.942029,0.976471,0.987805,1.000000,0.986667,0.988889,0.000000,1.000000,0.973684,0.973214,0.973684,0.986842,0.977011,0.960630,0.988372,0.967033,0.989583,0.975000,0.933333,0.962963,0.980769,0.957627,0.977011,0.960000,0.953704,0.948454,0.985507,0.963855,0.987654,1.000000,0.972222,0.950495,0.961538,1.000000,0.942149,0.977528,1.000000,0.937500,0.964286,0.945205,0.986842,0.985714,0.969697,0.978022,0.943820,0.990291,0.945652,0.970297,0.982906,1.000000,0.950000,0.979798,0.978723,0.945205,0.932584,0.963964,0.968421,0.976378,0.966667,0.962500,0.949495,0.964286,0.953488,0.986301,0.966667,0.921053,0.979592,0.929577,0.959459,0.975000,0.964706,0.965909,0.950000,0.981982,1.000000
0.924731,0.958678,0.990196,0.966667,0.967033,0.975610,0.975904,0.957895,0.978495,0.926606,0.976744,1.000000,1.000000,0.000000,0.976190,0.959016,0.977273,0.988636,0.979798,0.964029,0.923913,0.960784,0.941748,0.978261,0.920000,0.978723,0.955752,0.969466,0.913978,0.964286,0.983740,0.934579,0.987654,0.911111,0.978261,0.966292,0.938272,0.946429,0.942446,0.958333,0.931298,0.948980,0.974359,0.968085,0.989796,0.965116,0.965116,0.949367,0.987342,0.990385,0.970874,0.954955,0.981308,0.964286,0.952000,0.935484,0.964602,0.981982,0.961538,0.988636,0.971154,0.959016,0.962264,0.940299,0.960396,0.967391,0.954955,0.957895,0.980000,0.951220,0.972222,0.989247,0.972477,0.976744,0.988636,0.978261,0.979592,0.938144,0.978723,0.983740,0.974026
0.972727,0.962687,0.982456,0.950495,0.990566,0.978947,0.989691,0.953271,0.971429,0.960000,0.990000,0.973451,0.973684,0.976190,0.000000,0.978102,0.959596,0.969697,0.991150,0.931973,0.972477,0.946903,0.974790,0.980952,0.947826,0.981308,0.960317,0.972222,0.972973,0.933884,0.977778,0.967480,0.989362,0.990909,0.940594,0.980583,0.957895,0.943548,0.954248,0.964706,0.959184,0.945455,1.000000,0.990826,0.972477,0.969697,0.980000,0.978723,0.978022,0.964912,0.965217,0.959677,0.974790,0.933884,0.956522,0.981818,0.968254,0.975610,0.956897,0.959184,0.956522,0.985507,0.975000,0.980263,0.955752,0.971429,0.959677,0.933333,0.973214,0.979381,1.000000,0.940594,0.975410,0.979798,0.980000,0.990566,0.953704,0.964286,0.990741,0.970149,0.989011
0.942857,0.954198,0.991150,0.970297,0.950000,0.956044,0.978723,0.971963,0.950495,0.915254,1.000000,0.982143,0.973214,0.959016,0.978102,0.000000,0.979798,0.989899,1.000000,0.959732,0.962264,0.982609,0.965517,0.990385,0.937500,0.961165,0.959677,0.971831,0.981818,0.950413,0.977444,0.949580,0.966667,0.941748,0.960396,0.980198,0.956989,0.976190,0.939597,0.963855,0.986577,0.963636,0.977528,0.930693,0.962264,0.969072,0.947368,0.955556,0.977528,0.982456,0.945946,0.950413,0.974359,0.967480,0.948148,0.952381,0.976000,0.975207,0.908257,0.979592,0.955752,0.970149,0.956897,0.986755,0.935780,0.990476,0.950413,0.981481,0.991071,0.968085,0.988095,0.970588,0.983471,0.989796,1.000000,0.970588,0.962617,0.972973,0.971154,0.985075,0.965517
0.986301,0.958333,0.986842,0.953125,0.985075,0.982456,0.982759,0.971831,0.970149,0.965909,1.000000,1.000000,0.973684,0.977273,0.959596,0.979798,0.000000,0.967213,0.972603,0.973913,0.971831,0.987342,0.962500,0.985075,0.975000,1.000000,1.000000,0.990741,1.000000,0.977273,0.979381,0.976744,1.000000,0.941176,0.985075,0.984615,0.983051,0.954545,0.983193,0.979167,0.963636,0.973333,0.961538,0.985714,1.000000,0.983871,0.983871,0.982143,0.961538,1.000000,0.974359,0.977273,0.975309,0.965517,0.970588,0.971831,0.954023,0.976471,0.975000,0.983871,0.987500,0.979798,0.975610,0.982456,0.946667,0.970149,0.977273,0.971831,0.972973,0.947368,0.956522,0.937500,1.000000,0.983607,0.950000,0.985075,0.986301,0.973333,0.985507,0.979381,0.940000
0.971831,1.000000,0.972973,0.984615,1.000000,1.000000,0.982456,0.971429,0.985075,0.988764,1.000000,1.000000,0.986842,0.988636,0.969697,0.989899,0.967213,0.000000,0.942857,0.991379,0.985915,1.000000,0.975000,0.984848,0.961538,1.000000,0.977528,1.000000,1.000000,0.965116,0.989691,0.976471,1.000000,0.940299,0.969231,1.000000,0.982759,0.929412,0.983051,0.978723,0.972727,0.986667,1.000000,0.985507,0.985915,0.983607,0.983607,0.981818,1.000000,0.987013,0.987179,0.977011,0.962025,0.927711,0.970297,0.985915,0.988764,0.976190,0.974684,0.966667,0.974359,0.979592,0.962500,0.982301,0.960000,0.985075,0.977011,0.985915,1.000000,1.000000,1.000000,0.984848,0.988095,0.983333,1.000000,1.000000,0.957143,1.000000,0.954545,0.989691,0.960000
0.975904,0.972222,0.964706,0.987013,0.987179,1.000000,0.985507,0.987952,0.987342,0.980000,1.000000,1.000000,0.977011,0.979798,0.991150,1.000000,0.972603,0.942857,0.000000,0.992188,1.000000,0.988889,0.978261,0.987179,0.989130,1.000000,1.000000,0.965517,0.988235,0.979798,0.990826,0.979381,0.984848,1.000000,0.987179,0.973333,0.985714,0.980198,0.976744,1.000000,0.983740,0.988506,1.000000,0.987654,1.000000,1.000000,0.972222,1.000000,0.984375,0.988764,1.000000,1.000000,0.943820,0.990000,0.973451,1.000000,0.937500,0.968421,1.000000,0.986301,1.000000,0.972477,0.967391,0.975806,0.965517,1.000000,0.969388,0.987952,1.000000,1.000000,0.964912,0.987179,1.000000,0.957143,0.972222,1.000000,1.000000,0.988506,1.000000,0.952381,1.000000
0.967742,0.980132,0.952000,0.974576,0.983333,0.981818,0.981982,0.950413,0.983471,0.956835,0.991304,0.984496,0.960630,0.964029,0.931973,0.959732,0.973913,0.991379,0.992188,0.000000,0.984000,0.969231,0.985185,0.983333,0.969697,0.975207,0.979021,0.941558,1.000000,0.971429,0.973154,0.948148,0.962264,0.992000,0.974790,0.991597,0.954128,0.957143,0.945783,0.990196,0.969325,0.952000,0.990654,0.966942,0.959016,0.991379,0.982609,0.972222,0.961538,0.984733,0.969231,0.964029,0.977612,0.948905,0.960784,0.975806,0.964286,0.939850,0.961832,0.945946,0.953488,0.959732,0.970149,0.930818,0.976923,0.983471,0.964029,0.932773,0.992248,0.982143,0.990099,0.966102,0.970588,0.991304,0.973684,0.974790,0.950820,0.968504,0.966667,0.966216,0.990566
0.949367,0.961905,1.000000,0.958904,0.973333,0.969231,0.985075,0.975000,0.987013,0.969072,0.985714,0.988235,0.988372,0.923913,0.972477,0.962264,0.971831,0.985915,1.000000,0.984000,0.000000,1.000000,0.966292,0.986842,0.941860,0.987179,0.979798,0.982759,0.950000,0.957895,0.961538,0.968085,1.000000,0.934211,0.986842,1.000000,0.938462,0.969388,0.951613,0.945455,0.948718,0.963855,0.983871,0.974359,0.975000,0.985915,0.956522,0.984615,1.000000,0.988506,0.952941,0.946809,0.966292,0.923913,0.972973,0.962025,0.989899,0.978723,0.954023,0.985915,1.000000,0.981481,0.966667,0.991935,0.964706,1.000000,0.979381,0.975000,1.000000,0.970149,0.982143,0.959459,0.978495,1.000000,1.000000,0.986842,0.975309,0.976190,0.987179,0.971429,0.966667
1.000000,0.964286,0.966667,0.987805,0.987952,0.986301,0.943662,0.977011,0.963415,0.971154,0.960000,0.978022,0.967033,0.960784,0.946903,0.982609,0.987342,1.000000,0.988889,0.969231,1.000000,0.000000,0.979381,0.936709,0.946237,0.988235,0.961538,0.931624,0.965909,0.990476,0.991228,0.970297,0.985915,0.964706,0.975610,0.987654,0.972973,0.971429,0.977612,1.000000,0.960000,0.966667,0.970588,0.976471,0.977011,0.960526,0.960526,0.971831,0.955224,0.989362,0.967742,0.980769,0.979381,0.970874,1.000000,0.977011,0.971154,0.970000,0.989691,0.987179,0.945652,0.964602,0.936170,0.960630,0.989362,0.910256,0.990476,0.965116,0.989011,0.929577,0.967742,0.962963,0.959184,0.987013,0.987179,0.975610,0.941176,0.943182,0.963855,0.991228,0.970149
0.943182,0.956140,0.989474,0.963855,0.939024,0.959459,0.931507,0.954545,0.964706,0.962264,0.974684,0.967742,0.989583,0.941748,0.974790,0.965517,0.962500,0.975000,0.978261,0.985185,0.966292,0.979381,0.000000,0.964286,0.890110,0.965116,0.962617,0.976000,0.943820,0.971698,0.973913,0.940594,0.958333,0.941860,0.964286,0.975904,0.946667,0.942857,0.947368,0.920635,0.960938,0.909091,1.000000,0.977273,0.977778,0.962025,0.921053,0.944444,0.986111,0.989691,0.957895,0.981308,0.990099,0.971698,0.966667,0.930233,0.990826,0.960784,0.958763,0.975000,0.979592,0.928571,0.938144,0.977273,0.923077,0.976744,0.941748,0.977778,1.000000,0.974026,0.984848,0.976471,0.960396,0.987500,0.987654,0.951807,0.943182,0.967742,0.927711,0.982759,0.956522
0.987013,1.000000,1.000000,0.971014,1.000000,1.000000,1.000000,0.945205,0.986111,0.989362,1.000000,0.987500,0.975000,0.978261,0.980952,0.990385,0.985075,0.984848,0.987179,0.983333,0.986842,0.936709,0.964286,0.000000,0.976190,1.000000,1.000000,1.000000,0.960526,0.978261,0.980198,0.977778,0.983051,0.972973,0.971429,1.000000,0.967742,0.989474,0.975410,0.960784,0.982759,0.974684,1.000000,1.000000,0.986842,0.984848,0.984848,0.983333,1.000000,1.000000,0.987952,0.978261,0.988372,0.978261,0.971698,0.986842,1.000000,0.988889,0.963855,0.969231,0.988095,0.990385,0.976744,0.991597,0.987805,1.000000,0.978261,0.973333,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.971429,0.960000,0.987500,0.972222,0.990196,0.982143
0.904762,0.927273,0.967391,0.950617,0.951220,0.958904,0.945205,0.954023,0.951807,0.951923,0.961039,0.956044,0.933333,0.920000,0.947826,0.937500,0.975000,0.961538,0.989130,0.969697,0.941860,0.946237,0.890110,0.976190,0.000000,0.976744,0.942308,0.941667,0.943182,0.930693,0.964602,0.895833,1.000000,0.875000,0.963855,0.987952,0.931507,0.942308,0.946970,0.919355,0.926829,0.956044,0.971429,0.952941,0.929412,0.961538,0.920000,0.958333,0.971429,0.989583,0.968421,0.961538,0.947917,0.961538,0.966387,0.929412,0.941748,0.960396,0.913043,0.961538,0.946809,0.946903,0.914894,0.953125,0.934066,0.951807,0.941176,0.954023,1.000000,0.931507,0.952381,0.951220,0.938776,0.961039,1.000000,0.963855,0.904762,0.932584,0.900000,0.991379,0.924242
0.987342,0.980769,0.975309,1.000000,0.972222,0.984127,0.968254,0.960526,0.986486,0.989583,0.985075,0.987805,0.962963,0.978723,0.981308,0.961165,1.000000,1.000000,1.000000,0.975207,0.987179,0.988235,0.965116,1.000000,0.976744,0.000000,0.989691,1.000000,0.974684,0.956522,0.960396,0.967033,1.000000,0.960000,0.986301,1.000000,0.984615,0.957447,0.992063,0.981481,0.974359,0.987805,1.000000,0.973333,0.987179,0.985294,0.970149,0.983871,1.000000,0.988095,0.988235,1.000000,0.977011,0.989474,0.972222,1.000000,0.968085,0.989130,0.964706,0.985294,0.976471,0.971154,0.965517,0.974790,1.000000,0.958333,0.989474,1.000000,0.975000,1.000000,0.981132,0.972222,0.989011,0.985075,1.000000,0.972222,0.974359,0.962500,0.986667,1.000000,1.000000
0.959184,0.942149,0.960396,0.978495,0.989474,0.976190,0.964286,0.947917,0.978947,0.927928,0.977273,0.970588,0.980769,0.955752,0.960317,0.959677,1.000000,0.977528,1.000000,0.979021,0.979798,0.961538,0.962617,1.000000,0.942308,0.989691,0.000000,0.962121,0.959596,0.973913,0.967480,0.973451,0.975610,0.947368,0.967742,0.943820,0.976744,0.918919,0.972414,0.986842,0.948148,0.970588,0.987654,0.979381,1.000000,0.965909,0.965909,0.975904,0.987654,0.980952,0.951456,0.936937,0.981651,0.955752,0.992424,0.936842,0.965217,0.963964,0.962264,0.977528,0.971698,0.942623,0.943396,0.964029,0.980952,0.922222,0.973913,0.958763,0.980392,0.952381,0.972973,0.956522,0.934579,0.977273,0.988889,0.967742,0.948454,0.939394,0.934783,0.975806,0.974684
0.974138,0.978873,0.974790,0.990991,0.981982,0.970000,0.970297,0.964912,0.982143,0.969697,0.971154,0.974790,0.957627,0.969466,0.972222,0.971831,0.990741,1.000000,0.965517,0.941558,0.982759,0.931624,0.976000,1.000000,0.941667,1.000000,0.962121,0.000000,0.974359,0.984962,0.985915,0.968992,0.969388,0.964602,0.991071,0.962617,0.980583,0.962121,0.968944,0.989247,0.960784,0.948276,1.000000,0.954955,0.964912,0.971429,0.971429,0.990099,0.957895,0.983607,0.958333,0.928571,0.992126,0.945312,0.951049,0.973913,0.953846,0.952381,0.950413,0.961538,0.941176,0.986111,0.959677,0.961290,0.966667,0.963636,0.984962,0.936937,0.991667,0.960396,0.966667,0.953704,0.943548,0.980952,0.981132,0.972727,0.982906,0.939130,0.954545,0.956522,0.989691
0.963415,0.952830,0.988506,0.973684,0.946667,1.000000,0.970588,0.962963,0.987342,0.969697,0.986111,0.964706,0.977011,0.913978,0.972973,0.981818,1.000000,1.000000,0.988235,1.000000,0.950000,0.965909,0.943820,0.960526,0.943182,0.974684,0.959596,0.974359,0.000000,0.947917,0.971963,0.968750,1.000000,0.949367,0.987179,0.986842,0.955882,0.970000,0.926829,0.947368,0.983740,0.964706,0.984375,0.948718,0.987952,0.972222,0.957746,0.985075,0.968254,0.988764,0.977528,0.979798,0.978261,0.958763,0.973451,0.975610,0.980000,0.968421,0.989130,0.972222,0.977778,0.953271,0.932584,0.932773,0.988764,0.947368,0.969388,0.987952,0.988372,0.940299,0.964912,0.932432,0.978947,0.971831,0.986301,0.946667,0.963415,0.964706,0.974684,0.981481,0.984127
0.969072,0.967213,0.990196,0.955056,0.955556,1.000000,1.000000,0.968750,1.000000,0.973684,1.000000,0.980198,0.960000,0.964286,0.933884,0.950413,0.977273,0.965116,0.979798,0.971429,0.957895,0.990476,0.971698,0.978261,0.930693,0.956522,0.973913,0.984962,0.947917,0.000000,0.922414,0.934579,0.975000,0.934783,0.955556,0.977778,0.951220,0.973913,0.942446,0.958333,0.947368,0.959596,1.000000,0.956989,0.989796,0.977011,0.977011,0.975309,1.000000,0.970588,0.970874,0.964286,0.941748,0.945455,0.917355,0.979381,0.955357,0.981982,0.951456,0.952941,0.971154,0.959016,0.942308,0.955882,0.970588,0.989362,0.935780,0.968750,0.959184,0.976190,0.986301,0.978261,0.981818,0.952381,1.000000,0.967033,0.969072,0.948980,0.956522,0.966942,0.987179
0.971698,0.984962,0.962963,0.959184,0.990196,1.000000,0.978261,0.951456,0.990291,0.992000,0.989583,0.972477,0.953704,0.983740,0.977778,0.977444,0.979381,0.989691,0.990826,0.973154,0.961538,0.991228,0.973913,0.980198,0.964602,0.960396,0.967480,0.985915,0.971963,0.922414,0.000000,0.957627,0.977528,0.950980,0.970000,0.990000,0.967391,0.967480,0.960000,0.987952,0.965278,0.981818,1.000000,0.980769,1.000000,0.979167,0.957447,0.989011,0.988636,0.963636,0.973214,0.975410,0.946429,0.958333,0.962963,0.971429,0.941176,0.966102,0.964602,0.946237,0.973451,0.945736,0.965217,0.965753,0.991150,0.960000,0.949580,0.971429,0.962617,0.978495,0.975309,0.990196,0.983193,0.978947,1.000000,0.959596,0.961905,0.972477,0.970588,0.961240,0.988506
0.911111,0.957983,0.969388,0.941860,0.930233,0.948718,0.975309,0.945652,0.966667,0.935185,0.976190,0.990000,0.948454,0.934579,0.967480,0.949580,0.976744,0.976471,0.979381,0.948148,0.968085,0.970297,0.940594,0.977778,0.895833,0.967033,0.973451,0.968992,0.968750,0.934579,0.957627,0.000000,0.987342,0.933333,0.917647,0.988764,0.909091,0.964286,0.925926,0.957143,0.962406,0.958763,0.960000,0.944444,0.968085,0.939024,0.951807,0.961538,0.987013,0.980198,0.980392,0.903846,0.961165,0.954128,0.951220,0.956989,0.954545,0.981651,0.950495,0.925926,0.894737,0.922414,0.930693,0.947368,0.970000,0.918605,0.934579,0.945652,1.000000,0.950000,0.971429,0.989011,0.971963,0.938272,1.000000,1.000000,0.946237,0.936842,0.943820,0.948718,0.959459
