# ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46
0.962733,0.950000,0.947020,0.924370,0.976190,0.929412,0.931034,0.903846,0.951220,0.967391,0.971429,0.979167,0.876543,1.000000,0.929293,0.842697,0.936170,0.853211,0.988372,0.988095,0.000000,0.851852,0.964789,0.920000,0.958763,0.961905,0.989011,0.978022,0.966102,0.942408,0.983193,0.971154,0.978873,0.979730,0.982906,0.984615,0.971939,0.952055,0.980645,0.989362,0.947368,0.975524,1.000000,0.926136,0.928571,1.000000
0.961538,0.906977,0.932773,0.896552,1.000000,0.905109,0.917647,0.891892,0.922222,0.932203,0.965035,0.968750,0.964912,1.000000,0.942857,0.985714,0.920635,0.807692,0.962264,0.980769,0.851852,0.000000,0.925234,0.916667,0.938462,0.945205,1.000000,0.966102,0.928571,0.950617,0.977011,0.958333,0.933962,0.965217,0.988372,0.979592,0.957865,0.919643,0.983871,0.983871,0.895522,0.960159,0.980769,0.909722,0.897196,1.000000
0.946667,0.964602,0.951049,0.965217,1.000000,0.938650,0.935185,0.928571,0.947368,0.925000,0.963636,0.988636,0.987654,1.000000,0.956989,0.989247,0.965909,0.945455,0.987013,1.000000,0.964789,0.925234,0.000000,0.930070,0.977778,0.850575,0.987805,0.923077,0.981982,0.945355,0.962963,0.979167,0.937500,0.955882,0.962264,0.966387,0.946524,0.941176,0.965278,0.976190,0.924528,0.963504,0.986667,0.909091,0.872000,1.000000
0.970238,0.984615,0.942308,0.969231,0.989011,0.937853,0.960000,0.928571,0.961538,0.990000,0.983607,0.980392,0.978947,1.000000,0.990991,0.990741,0.960784,0.908333,1.000000,1.000000,0.920000,0.916667,0.930070,0.000000,0.961165,0.963964,0.979167,1.000000,0.992126,0.975369,0.959016,1.000000,0.951389,0.973856,0.983740,0.985294,0.972362,0.980769,0.962025,0.990000,0.955056,0.939716,1.000000,0.934426,0.960000,0.982301
1.000000,0.985714,0.980392,0.971831,1.000000,0.975806,0.970149,0.865385,0.957746,0.974359,0.958333,1.000000,1.000000,1.000000,1.000000,0.978723,0.977273,0.939394,1.000000,1.000000,0.958763,0.938462,0.977778,0.961165,0.000000,0.851064,1.000000,0.972973,1.000000,0.993151,0.984615,1.000000,0.988764,0.989474,1.000000,1.000000,0.982456,0.968421,1.000000,1.000000,0.975410,0.991525,1.000000,0.961240,0.978495,0.961538
0.991597,0.974026,0.990991,0.987500,1.000000,0.953488,0.945205,0.883333,0.948718,0.956522,0.960938,0.980000,1.000000,1.000000,0.964912,0.981818,0.980769,0.960000,1.000000,1.000000,0.961905,0.945205,0.850575,0.963964,0.851064,0.000000,1.000000,0.789474,1.000000,0.952703,0.972222,1.000000,0.989691,0.980392,1.000000,1.000000,0.974063,0.970874,0.981651,1.000000,0.944444,0.983471,1.000000,0.948148,0.959596,0.983607
0.990196,0.983607,0.989362,0.984127,1.000000,0.991453,0.983051,0.979592,0.984375,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.983333,1.000000,1.000000,0.989011,1.000000,0.987805,0.979167,1.000000,1.000000,0.000000,1.000000,0.982456,0.977778,0.963636,0.976190,0.987500,1.000000,0.962264,1.000000,0.991071,0.988636,1.000000,1.000000,0.982456,0.982222,1.000000,0.966942,0.988235,1.000000
0.990291,0.950000,0.978723,0.984375,1.000000,0.965217,0.983333,0.959184,1.000000,0.967742,0.982609,0.970588,1.000000,1.000000,0.976190,1.000000,0.972222,0.966667,0.909091,0.952381,0.978022,0.966102,0.923077,1.000000,0.972973,0.789474,1.000000,0.000000,0.964912,0.954887,0.982456,0.976744,0.975000,0.988506,1.000000,1.000000,0.982036,0.988764,1.000000,1.000000,0.955357,0.991228,0.952381,0.983871,0.988372,1.000000
0.968992,0.904762,0.863636,0.919540,1.000000,0.979310,0.977273,1.000000,0.989362,0.983333,0.986111,0.967742,1.000000,1.000000,0.971429,1.000000,0.968750,0.988889,0.980769,0.959184,0.966102,0.928571,0.981982,0.992126,1.000000,1.000000,0.982456,0.964912,0.000000,0.894737,0.870130,0.841270,0.867347,0.916667,0.924051,0.957447,0.963483,0.974138,0.940171,0.966102,0.942029,0.968127,0.959184,0.959732,0.973451,0.986486
0.966019,0.938272,0.854749,0.925926,0.992366,0.944444,0.969697,0.967742,0.982558,0.992857,0.972727,0.978723,0.985185,1.000000,0.944444,0.993243,0.949640,0.931250,1.000000,0.984496,0.942408,0.950617,0.945355,0.975369,0.993151,0.952703,0.977778,0.954887,0.894737,0.000000,0.922581,0.907143,0.895954,0.935135,0.949045,0.965116,0.888614,0.856322,0.792899,0.955556,0.621951,0.789286,0.992308,0.896714,0.928962,0.986928
0.944000,0.965909,0.872727,0.989130,1.000000,0.986207,1.000000,0.974026,1.000000,1.000000,0.986014,0.983871,1.000000,1.000000,0.985714,1.000000,1.000000,1.000000,1.000000,1.000000,0.983193,0.977011,0.962963,0.959016,0.984615,0.972222,0.963636,0.982456,0.870130,0.922581,0.000000,0.838710,0.888889,0.925926,0.936709,0.945652,0.974930,0.991453,0.957627,0.965517,0.978873,0.959677,1.000000,0.966443,0.935185,0.986301
0.955752,0.973333,0.877551,0.946667,1.000000,0.984733,0.972603,1.000000,1.000000,0.954545,0.984496,1.000000,1.000000,1.000000,0.963636,0.981132,1.000000,0.986667,0.972973,1.000000,0.971154,0.958333,0.979167,1.000000,1.000000,1.000000,0.976190,0.976744,0.841270,0.907143,0.838710,0.000000,0.883721,0.926316,0.939394,0.962500,0.979827,0.960000,0.951923,0.930233,0.960317,0.961702,0.971429,0.992806,0.969388,1.000000
0.945946,0.915094,0.796748,0.936364,0.972603,0.903846,0.953704,0.980198,0.991453,0.987952,0.969512,1.000000,1.000000,1.000000,0.978495,0.989011,0.952941,0.893204,0.944444,0.986301,0.978873,0.933962,0.937500,0.951389,0.988764,0.989691,0.987500,0.975000,0.867347,0.895954,0.888889,0.883721,0.000000,0.931298,0.951456,0.947826,0.954667,0.932331,0.942446,0.975610,0.950311,0.955556,0.986301,0.965116,0.954887,0.989691
0.961538,0.974576,0.892086,0.930435,0.987500,0.976879,0.991525,1.000000,0.991870,0.977273,0.970588,0.989130,1.000000,1.000000,0.969388,1.000000,0.978495,0.965517,0.987654,1.000000,0.979730,0.965217,0.955882,0.973856,0.989474,0.980392,1.000000,0.988506,0.916667,0.935135,0.925926,0.926316,0.931298,0.000000,0.954128,0.967480,0.944297,0.935252,0.930070,0.965517,0.964497,0.960289,0.974359,0.966292,0.925926,0.990291
0.960000,0.965116,0.939130,0.965909,1.000000,0.978873,0.988372,1.000000,0.989011,1.000000,0.978571,1.000000,1.000000,1.000000,0.970149,1.000000,1.000000,1.000000,1.000000,1.000000,0.982906,0.988372,0.962264,0.983740,1.000000,1.000000,0.962264,1.000000,0.924051,0.949045,0.936709,0.939394,0.951456,0.954128,0.000000,0.932584,0.980501,0.982456,0.965812,0.982456,0.985816,0.967742,1.000000,0.972973,0.972727,0.971429
0.978571,0.980000,0.953488,0.990291,1.000000,0.980645,0.989899,1.000000,0.980583,1.000000,0.973684,1.000000,0.984848,1.000000,0.975000,1.000000,0.986667,0.969388,0.983871,0.983333,0.984615,0.979592,0.966387,0.985294,1.000000,1.000000,1.000000,1.000000,0.957447,0.965116,0.945652,0.962500,0.947826,0.967480,0.932584,0.000000,0.981183,0.976190,0.969231,0.985714,0.993548,0.973282,1.000000,0.987730,0.950000,1.000000
0.957179,0.963889,0.948187,0.964088,0.990909,0.956204,0.975138,0.965616,0.983784,0.991150,0.870370,0.979290,0.997033,1.000000,0.973837,0.997135,0.991279,0.963788,0.993976,0.993939,0.971939,0.957865,0.946524,0.972362,0.982456,0.974063,0.991071,0.982036,0.963483,0.888614,0.974930,0.979827,0.954667,0.944297,0.980501,0.981183,0.000000,0.895028,0.896458,0.976048,0.916244,0.909091,0.993939,0.941748,0.946950,0.988636
0.968553,0.957627,0.938776,0.949580,1.000000,0.947059,0.929204,0.952830,0.975610,0.966292,0.940120,0.978495,0.988506,1.000000,0.892473,0.989899,0.978947,0.939130,0.975610,1.000000,0.952055,0.919643,0.941176,0.980769,0.968421,0.970874,0.988636,0.988764,0.974138,0.856322,0.991453,0.960000,0.932331,0.935252,0.982456,0.976190,0.895028,0.000000,0.834586,0.942529,0.865385,0.917910,0.975000,0.912281,0.950000,1.000000
0.969512,0.959350,0.919463,0.960000,1.000000,0.954545,0.983871,0.973451,1.000000,0.989583,0.965909,1.000000,1.000000,1.000000,0.961538,0.990385,0.980000,0.941667,1.000000,0.988372,0.980645,0.983871,0.965278,0.962025,1.000000,0.981651,1.000000,1.000000,0.940171,0.792899,0.957627,0.951923,0.942446,0.930070,0.965812,0.969231,0.896458,0.834586,0.000000,0.922222,0.833333,0.899254,0.964286,0.914773,0.937063,0.981651
0.990476,1.000000,0.968421,0.969231,1.000000,1.000000,1.000000,0.980769,1.000000,0.969697,0.974138,0.942857,1.000000,1.000000,0.928571,1.000000,1.000000,1.000000,1.000000,1.000000,0.989362,0.983871,0.976190,0.990000,1.000000,1.000000,1.000000,1.000000,0.966102,0.955556,0.965517,0.930233,0.975610,0.965517,0.982456,0.985714,0.976048,0.942529,0.922222,0.000000,0.946903,0.973451,1.000000,0.984127,0.988636,1.000000
0.967568,0.979592,0.942197,0.958904,0.990826,0.921466,0.935252,0.913386,0.952055,0.965217,0.969697,0.966102,0.991228,1.000000,0.934426,0.984000,0.949153,0.912409,1.000000,0.981308,0.947368,0.895522,0.924528,0.955056,0.975410,0.944444,0.982456,0.955357,0.942029,0.621951,0.978873,0.960317,0.950311,0.964497,0.985816,0.993548,0.916244,0.865385,0.833333,0.946903,0.000000,0.776062,0.990741,0.860963,0.958084,0.992424
0.955326,0.976654,0.954064,0.964844,1.000000,0.964286,0.972441,0.979675,0.980843,0.991304,0.964052,0.991416,0.995595,1.000000,0.965957,0.995816,0.978448,0.964427,0.995516,0.995475,0.975524,0.960159,0.963504,0.939716,0.991525,0.983471,0.982222,0.991228,0.968127,0.789286,0.959677,0.961702,0.955556,0.960289,0.967742,0.973282,0.909091,0.917910,0.899254,0.973451,0.776062,0.000000,0.986301,0.909699,0.937037,0.979253
0.989474,0.962264,0.988506,0.982143,1.000000,0.990909,0.980769,1.000000,1.000000,0.956522,0.981308,1.000000,1.000000,1.000000,0.970588,1.000000,1.000000,0.981132,0.933333,0.923077,1.000000,0.980769,0.986667,1.000000,1.000000,1.000000,1.000000,0.952381,0.959184,0.992308,1.000000,0.971429,0.986301,0.974359,1.000000,1.000000,0.993939,0.975000,0.964286,1.000000,0.990741,0.986301,0.000000,0.973913,0.987179,0.972973
0.947368,0.953947,0.956522,0.954545,1.000000,0.935644,0.939189,0.911111,0.961538,0.976000,0.960976,0.968504,0.991870,1.000000,0.930769,0.992593,0.952756,0.946667,1.000000,0.982759,0.926136,0.909722,0.909091,0.934426,0.961240,0.948148,0.966942,0.983871,0.959732,0.896714,0.966443,0.992806,0.965116,0.966292,0.972973,0.987730,0.941748,0.912281,0.914773,0.984127,0.860963,0.909699,0.973913,0.000000,0.923529,0.985714
0.940789,0.918919,0.922535,0.890909,1.000000,0.970760,0.982759,0.981132,0.991803,1.000000,0.964286,0.989011,1.000000,1.000000,0.979592,1.000000,0.931818,0.918182,1.000000,0.987179,0.928571,0.897196,0.872000,0.960000,0.978495,0.959596,0.988235,0.988372,0.973451,0.928962,0.935185,0.969388,0.954887,0.925926,0.972727,0.950000,0.946950,0.950000,0.937063,0.988636,0.958084,0.937037,0.987179,0.923529,0.000000,0.980198
0.991597,0.987179,1.000000,1.000000,1.000000,0.992537,1.000000,0.984848,1.000000,1.000000,0.984733,1.000000,1.000000,1.000000,0.982759,1.000000,1.000000,1.000000,1.000000,0.972973,1.000000,1.000000,1.000000,0.982301,0.961538,0.983607,1.000000,1.000000,0.986486,0.986928,0.986301,1.000000,0.989691,0.990291,0.971429,1.000000,0.988636,1.000000,0.981651,1.000000,0.992424,0.979253,0.972973,0.985714,0.980198,0.000000
